"Faszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Einzel-BL li-re sehr helle Tinte, horizontal durchgehend 30 BL, von unten jeweils 2 für Text und 4 für Noten, ca. 13 mm","4.0000","Fleischseite fast rein weiß, Haarseite hellgelblich, z.T. verfärbt/fleckig","3-53","","4001","unterschiedlich stark, z.T. ausgesprochen dünn; Haarseite etwas rauh","schwarze Quadratnotation, nicht kaudiert, mittelviele Taktstriche, Custos sehr lang gehalst","1","Tinte oxidiert, z.T. durchgeschlagen, sehr dünne Blätter vereinzelt leicht beschädigt","Systemhöhe 38-39 mm","durchrastriert, Tetragramme über vorher gezogenem Blindlinienraster (z.T. leicht abweichend), sehr regelmäßig, bei längeren Textteilen ggf. nur 1-4 rastrierte Systeme. Jeder Gesang beginnt mit einer Zierinitiale auf einer neuen Zeile (Notenlinien für Initiale ausgespart), Teile/Verse auch mit kleiner Zierinitiale in de Zeilenmitte.","Aloysio Cassanense 1532 - s. Kolophon fol. 51v","Rotunda","272-275x364-378 mm","1","","mittel- bis dunkelbraun, z.T. stark verblaßt/abgeblättert","karmesinrot, stark deckend","mittel- bis dunkelbraun, z.T. stark verblaßt/abgeblättert","","5 Tetragramme bzw. 15 Textzeilen"
"Faszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Einzel-BL li-re sehr helle Tinte, horizontal durchgehend 30 BL, von unten jeweils 2 für Text und 4 für Noten, ca. 13 mm","4.0000","Fleischseite fast rein weiß, Haarseite hellgelblich, z.T. verfärbt/fleckig","54-114","","4002","unterschiedlich stark, z.T. ausgesprochen dünn; Haarseite etwas rauh","schwarze Quadratnotation, kaudiert, wenige Taktstriche, Custos lang gehalst","2","Tinte oxidiert, z.T. durchgeschlagen, sehr dünne Blätter vereinzelt leicht beschädigt","Systemhöhe 38-39 mm","durchrastriert, Tetragramme über vorher gezogenem Blindlinienraster (z.T. leicht abweichend), sehr regelmäßig, bei längeren Textteilen ggf. nur 1-4 rastrierte Systeme. Jeder Gesang und jeder Vers beginnt mit einer Zierinitiale auf einer neuen Zeile (Notenlinien für Initiale ausgespart).","Galeazzo Ercolano 1534, s. Kolophon fol. 114r","Rotunda","272-275x364-378 mm","1","","schwarz, stark deckend, z.T. verblaßt/abgeblättert","karmesinrot, z.T. verblaßt","schwarz, stark deckend, z.T. verblaßt/abgeblättert; Rubriken karmesinrot","","5 Tetragramme bzw. 15 Textzeilen"
"Einzelbifolium","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Doppel-BL li-re helle Tinte 11 mm, Text auf Doppel-BL 11 mm, längere Textpassagen auf Doppel-BL nachgetr. 6 mm","5.0000","Fleischseite fast rein weiß, Haarseite gelblich, z.T. verfärbt/fleckig","3-4","s. Ausstattung","5001","rel. dünn, sehr fein und glatt (auch Haarseite)","schwarz Quadrat, caudiert, wenige Taktstriche, sehr lang gehalster Custos","Vorspann","Tinte teilweise oxidiert/durchgeschlagen/verblaßt/abgeblättert, so gut wie keine Schäden","Einzelrastral 33,5 mm (Nachtrag 4r-4v: 31 mm)","durchrastriert über vorher eingetragenem Textblindliniennetz, Platz für Initialen ausgespart, bei Textpassagen ggf. nur 4-5 Tetragramme","San-Marco-Schreibwerkstatt; Nachtrag andere Hand, die allerdings den San-Marco-Schreiber nachahmt.","Rotunda","245-248x362-363 mm","1","","schwarz, stark deckend, z.T. verblaßt/abgeblättert","karmesinrot, stark deckend (Nachtr. 4r-5v hellrot)","schwarz, stark deckend, z.T. verblaßt/abgeblättert; Rubriken karmesinrot","","6 Tetragramme"
"Faszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Doppel-BL li-re helle Tinte 11 mm (fol. 179r: 7-9 mm), Text auf Doppel-BL 11 mm, längere Textpassagen auf Doppel-BL nachgetr. 6 mm","5.0000","Fleischseite fast rein weiß, Haarseite gelblich, z.T. verfärbt/fleckig","5-179","s. Ausstattung","5002","rel. dünn, sehr fein und glatt (auch Haarseite)","schwarz Quadrat, caudiert, zahlreiche Taktstriche, sehr lang gehalster Custos","1","Tinte teilweise oxidiert/durchgeschlagen/verblaßt/abgeblättert, so gut wie keine Schäden","Einzelrastral 31,5 mm (fol. 179r: 33,5 mm)","durchrastriert über vorher eingetragenem Textblindliniennetz, Platz für Initialen ausgespart, bei längeren Textpassagen ggf. nur 0-5 Tetragramme.","San-Marco-Schreibwerkstatt","Rotunda","245-250x357-363 mm","1","","schwarz, stark deckend, z.T. verblaßt/abgeblättert","karmesinrot, stark deckend","schwarz, stark deckend, z.T. verblaßt/abgeblättert; Rubriken karmesinrot, z.T. blau","","6 Tetragramme, bis zu 28 Textzeilen"
"Teilfaszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Doppel-BL li-re helle Tinte 11 mm, Text auf Doppel-BL 11 mm","5.0000","Fleischseite fast rein weiß, Haarseite gelblich, z.T. verfärbt/fleckig","180-199","s. Ausstattung","5003","rel. dünn, sehr fein und glatt (auch Haarseite)","schwarz Quadrat, caudiert, zahlreiche Taktstriche, sehr lang gehalster Custos","2a","Tinte teilweise oxidiert/durchgeschlagen/verblaßt/abgeblättert, so gut wie keine Schäden","Einzelrastral 31,5 mm","durchrastriert über vorher eingetragenem Textblindliniennetz, Platz für Initialen ausgespart.","San-Marco-Schreibwerkstatt","Rotunda","245-250x357-363 mm","1","","schwarz, stark deckend, z.T. verblaßt/abgeblättert","karmesinrot, stark deckend","schwarz, stark deckend, z.T. verblaßt/abgeblättert; Rubriken karmesinrot","","6 Tetragramme"
"Teilfaszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Doppel-BL li-re helle Tinte 11 mm, Text auf Doppel-BL 11 mm","5.0000","Fleischseite fast rein weiß, Haarseite gelblich, z.T. verfärbt/fleckig","200-207","s. Ausstattung","5004","rel. dünn, sehr fein und glatt (auch Haarseite)","schwarz Quadrat, caudiert, wenige Taktstriche, sehr lang gehalster Custos","2b","Tinte teilweise oxidiert/durchgeschlagen/verblaßt/abgeblättert, so gut wie keine Schäden","Einzelrastral 33,5 mm","durchrastriert über vorher eingetragenem Textblindliniennetz, Platz für Initialen ausgespart.","San-Marco-Schreibwerkstatt","Rotunda","260x382-386 mm","1","","schwarz, stark deckend, z.T. verblaßt/abgeblättert","karmesinrot, stark deckend","schwarz, stark deckend, z.T. verblaßt/abgeblättert; Rubriken karmesinrot","","6 Tetragramme"
"Nachtrag","","Einzel-BL li-re Blei, Text auf Doppel-BL 8-8,5 mm","5.0000","","207v","","5005","","","Nachtrag 1","Tinte teilweise verblaßt/abgeblättert, so gut wie keine Schäden","","","?? später","Rotunda","250x443 mm","1","","","","schwarz, stark deckend, z.T. verblaßt/abgeblättert; Rubriken hellrot","","25 Textzeilen"
"Einzelblatt","Pergament, Einzelbifolium","Doppel-BL li-re Blei 4-5 mm, Text auf Doppel-BL 9-9,5 mm","5.0000","Fleischseite weiß-gräulich, stark fleckig, Haarseite sehr dunkel","208","mäßig verzierte Kadelle am Beginn des Gesangs.","5006","rel. stark","schwarz Quadrat, caudiert, wenige Taktstriche, lang gehalster Custos","Nachtrag 2","Tinte teilweise verblaßt/abgeblättert, so gut wie keine Schäden","Einzelrastral 28,5 mm","durchrastriert über vorher eingetragenem Textblindliniennetz, Platz für Initialen ausgespart.","?? später, aber anders als 207v","Rotunda","312x403 mm","1","schwarz, z.T. verblaßt/abgeblättert","schwarz, z.T. verblaßt/abgeblättert","karmesinrot, stark deckend","schwarz, z.T. verblaßt/abgeblättert; Rubriken karmesinrot","","7 Pentagramme"
"Isoliert","Papier, echte Bifolia, Ränder mit Papierstreifen verstärkt","insges. 7 vertikale BL für 2 Spalten mit jeweils 3 Kolumnen (lfd. Nummer, Text, folio), äußerste links nicht immer vorh./von Papierstreifen verdeckt; keine Text-BL","5.0000","gelblich","209-220","","5007","rel. stark, sehr rauh","","Index","","","","Crivelli?? unwahrscheinlich - wahrscheinlich unter seiner Amtszeit als mdc angefertigt (1601)","Rotunda","305-317 (2x 150-160 mm = 16-18/120-130/16-18)x460-475 mm","2","","","","dunkelbraun, z.T. verblaßt; Rubriken karmesinrot","nicht zu erkennen","bis zu 31 Textzeilen"
"Faszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Einzel-BL li-re x 2 Spalten, durchgehendes 42-Linien-Raster 9 mm spaltenweise","6.0000","Fleischseite fast rein weiß, Haarseite gelblich","3-196","Am Anfang der Psalm-oder Hymnenverse rel. kleine Majuskeln in rot oder blau, mit Tintenornamenten in der jeweils anderen Farbe verziert. Am Anfang der Gesänge/Psalmen Zierinitialen (s. Ausstattung)","6001","rel. dünn, sehr fein und glatt (auch Haarseite)","schwarz Quadrat, caudiert, wenige Taktstriche, lang gehalster Custos","1","Tinte teilweise oxidiert/durchgeschlagen, so gut wie keine Schäden","Einzelrastral 28,5 mm","durchrastriert über vorher eingetragenem Textblindliniennetz, Platz für Initialen ausgespart, bei längeren Textpassagen ggf. nur 0-6 Tetragramme.","San-Marco-Schreibwerkstatt","Rotunda, etwas eckiger, s-Form z.T. offen mit Unterstrich","2 x 117-118x378, Abstand 23-25 mm, gesamt 260x378 mm","2","karmesinrot, z.T. blau","schwarz, stark deckend, z.T. verblaßt/abgeblättert","karmesinrot, stark deckend","schwarz, stark deckend, z.T. verblaßt/abgeblättert; Rubriken karmesinrot, selten blau","","7 Pentagramme, 21 Textzeilen"
"Nachträge","","","6.0000","","153r, 167r, 167v","","6002","","schwarz Quadrat mit Serifen, nicht caudiert","Nachträge","","frei gezogen, krumm und schief, 153r 12-15 mm, 167 29-34 mm","durchrastriert","","Antiqua mit kurisven und ltf-Elementen (Unzial-d, Abbr.), sehr niedriges Niveau","","1","","mittelbraun","mittelbraun","mittelbraun","","3 Pentagramme (153r), je 1Pentagramm (167)"
"Faszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Einzel-BL li-re x 2 Spalten, durchgehendes 42-Linien-Raster 9 mm spaltenweise","6.0000","Fleischseite fast rein weiß, Haarseite gelblich","197-233","Am Anfang der Psalm-oder Hymnenverse rel. kleine Majuskeln in rot oder blau, mit Tintenornamenten in der jeweils anderen Farbe verziert. Am Anfang der Gesänge/Psalmen Zierinitialen (s. Ausstattung)","6003","rel. dünn, sehr fein und glatt (auch Haarseite)","schwarz Quadrat, caudiert, wenige Taktstriche, lang gehalster Custos","2","Tinte teilweise oxidiert/durchgeschlagen, so gut wie keine Schäden","Einzelrastral 28,5 mm","durchrastriert über vorher eingetragenem Textblindliniennetz, Platz für Initialen ausgespart, bei längeren Textpassagen ggf. nur 0-6 Tetragramme.","San-Marco-Schreibwerkstatt","Rotunda, etwas eckiger, s-Form z.T. offen mit Unterstrich","2 x 117-118x378, Abstand 23-25 mm, gesamt 260x378 mm","2","karmesinrot, z.T. blau","schwarz, stark deckend, z.T. verblaßt/abgeblättert","karmesinrot, stark deckend","schwarz, stark deckend, z.T. verblaßt/abgeblättert; Rubriken karmesinrot, selten blau","","7 Pentagramme, 21 Textzeilen"
"Teilfaszikel","Pergament, echte Bifolia","Einzel-BL li-re x 2 Spalten, durchgehendes 32-Linien-Raster 13 mm spaltenweise","7.0000","Fleischseite fast rein weiß, Haarseite gelb","3-44","Ausgesparter Platz für Zierinitialen (quadratisch, unterschiedlich groß, 54 bis 73 mm Randlänge) nur bis fol. 11 ausgefüllt: einfache Majuskel auf rotem Grund blau ausgefüllt, Rand und Buchstabe selbst ausgespart, gelegentlich mit Bleistift leicht verziert. Ab fol. 12 Initialen nur noch mit Bleistift angedeutet, z.T ganz leer. Initiale von Antiphonen und Psalmintonationen selten in Rot, sonst einfache schwarze Majuskel. Initialen der Psalmverse in Rot. Majuskeln (vor allem rote) z.T. leicht verziert/ansatzweise als Kadelle ausgeführt. Fol. 3-4 rote Initialen mit blauer Tinte verziert; fol. 4r li. blau-rotes Ornament (?) auf unten leergebliebenem Platz.","7001","mittelstark, Haarseite rel. rauh","schwarz Quadrat, caudiert, sehr wenige Taktstriche, rel. lang gehalster Custos","1a","Tinte teilweise oxidiert/durchgeschlagen, so gut wie keine Schäden","Systemhöhe 39 mm","durchrastriert über vorher eingetragenem Textblindliniennetz, Platz für Initialen ausgespart, jeder Verse/jeder Gesang beginnt mit neuer Zeile; bei längeren Textpassagen ggf. nur 0-4 Tetragramme.","Giuseppe Dosio 1619, s. Schreibervermerk fol. 2r","Rotunda (s. CS 56-59)","2 x 120-122x402-405, Abstand ca 25 mm, gesamt 265-270x402-405 mm","2","karmesinrot","schwarz, stark deckend, z.T. verblaßt/abgeblättert","karmesin- bis dunkelrot, stark deckend","schwarz, stark deckend, z.T. verblaßt/abgeblättert; Rubriken karmesinrot","","5 Pentagramme, 16 Textzeilen"
"Teilfaszikel","Pergament, echte Bifolia","Einzel-BL li-re, durchgehendes 30-Linien-Raster 13 mm","7.0000","Fleischseite fast rein weiß, Haarseite gelb","45-50","Ausgesparter Platz für Zierinitialen (quadratisch, unterschiedlich groß, 54 bis 73 mm Randlänge) nur mit Bleistift angedeutet, z.T ganz leer. Initialen selten in Rot, sonst einfache schwarze Majuskel. Majuskeln (vor allem rote) z.T. leicht verziert/ansatzweise als Kadelle ausgeführt.","7002","mittelstark, Haarseite rel. rauh","schwarz Quadrat, caudiert, sehr wenige Taktstriche, rel. lang gehalster Custos","1b","Tinte teilweise oxidiert/durchgeschlagen, so gut wie keine Schäden","Systemhöhe 39 mm","durchrastriert über vorher eingetragenem Textblindliniennetz, Platz für Initialen ausgespart, jeder Verse/jeder Gesang beginnt mit neuer Zeile; bei längeren Textpassagen ggf. nur 0-4 Tetragramme.","Giuseppe Dosio 1619, s. Schreibervermerk fol. 2r","Rotunda (s. CS 56-59)","260-265x374-378 mm","1","karmesinrot","schwarz, stark deckend, z.T. verblaßt/abgeblättert","karmesin- bis dunkelrot, stark deckend","schwarz, stark deckend, z.T. verblaßt/abgeblättert; Rubriken karmesinrot","","5 Pentagramme"
"Faszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Doppel-BL li-re 7,5 mm sehr helle Tinte, Text auf Doppel-BL 12,5-13 mm; längere Textteile auf Doppel-BL 6 mm","8.0000","Fleischseite fast rein weiß, Haarseite gelblich, z.T. unregelmäßig verfärbt","3-130","","8001","unterschiedlich stark; Haarseite etwas rauh","schwarz Quadrat, caudiert, sehr wenige Taktstriche, lang gehalster Custos","1","Tinte oxidiert, auf dünneren Blättern z.T. durchgeschlagen, keine Schäden","Systemhöhe 38-39 mm","durchrastriert, zwischen den äußeren Blindlinien, Platz für Rubriken und Initialen i.d.R. ausgespart, z.T. aber Initialen auch über bestehende Systeme gemalt. Durchgehend ingrossiert, Initialen ggf. auch in der Mitte der Zeile.","Federico Maria da Perugia, 1539-1545. CS 8 ist nicht datiert, ähnelt aber den beiden anderen Handschriften da Perugias in der CS (CS 9, 1545; CS 11, 1539) so sehr, daß ihre Enstehung wohl in derselben Zeit anzusiedeln ist.","Rotunda","280-285x464-468 mm","1","","schwarz, stark deckend, z.T. leicht verblaßt/abgeblättert","karmesinrot, stark deckend","schwarz, stark deckend, z.T. leicht verblaßt/abgeblättert; Rubriken karmesinrot","","6 Tetragramme"
"Faszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Doppel-BL li-re 7,5 mm sehr helle Tinte, Text auf Doppel-BL 12,5-13 mm; längere Textteile auf Doppel-BL 6 mm","9.0000","Fleischseite fast rein weiß, Haarseite gelblich, z.T. unregelmäßig verfärbt","2-110","","9001","unterschiedlich stark, z.T. ausgesprochen dünn; Haarseite etwas rauh","schwarz Quadrat, caudiert, sehr wenige Taktstriche, sehr lang gehalster Custos","1","Tinte oxidiert, z.T. durchgeschlagen, sehr dünne Blätter vereinzelt leicht beschädigt","Systemhöhe 39 mm","durchrastriert, zwischen den äußeren Blindlinien, Platz für Rubriken und Initialen i.d.R. ausgespart, z.T. aber Initialen auch über bestehende Systeme gemalt. Durchgehend ingrossiert, Initialen ggf. auch in der Mitte der Zeile.","Federico Maria da Perugia, 1545 (s. Kolophon fol. 110v)","Rotunda","290-292x450 mm","1","","schwarz, stark deckend, z.T. leicht verblaßt/abgeblättert","karmesinrot, stark deckend","schwarz, stark deckend, z.T. leicht verblaßt/abgeblättert; Rubriken karmesinrot","","6 Tetragramme"
